978-3-903022-13-3,Die Eiserne Kolonne,"Spanien 1936. Die Eiserne Kolonne war ein Teil der CNT-FAI und setzte sich aus Anarchisten und aus dem Gefängnis befreiten Straftätern zusammen. Sie kämpfte an der Front von Teruel gegen die die faschistischen Teile der Armee unter Franco. Bei der Befreiung von Valencia setzten sie ihre Vision einer revolutionären Ordnung um, bevor sie im Zuge der Militarisierung aufgelöst wurde, und sich dem stalinistischen Konzept der zentralisierten Kriegsführung unterordnete. Der Text von Mario Frisetti zeichnet die Diskussionen und Schwierigkeiten jener Kolonne nach und wertet dabei die Protokolle ihrer Sitzungen aus. Der zweite Teil des Buches bringt einen Text eines anonymen „Unkontrollierbaren“ aus der Eisernen Kolonne, der zuerst im März 1937 in mehreren Ausgaben der Zeitung Nosostros der FAI veröffentlicht wurde. Darin zeichnet der bitter enttäuschte Freiwillige seine biographische Verbindung zum anti-faschistischen Kampf nach, schreibt über die anti-autoritäre Organisationsweise seiner Kolonne und über die Schwierigkeiten an der Front.",95,die_eiserne_kolonne_cover.jpg,2013,7.90,politics,0
978-3-903022-18-8,Die Bonnot Bande,"Paris, die Stadt der Kommune, der radikalen Gewerkschaft CGT und der kleinen anarchistischen Zeitungen in den Jahren vor dem 1. Weltkrieg. Eine Gruppe junger Revolutionäre liest viel, veranstaltet Diskussionen, widmet sich der freien Liebe und dem Vegetarismus. Doch aus Not entspringen Aktionen. Diebstahl, Raub und Banküberfälle, durchgeführt mit den damals modernsten Waffen und dem neuartigen Auto als Fluchtfahrzeug. Eine Gruppe von Freunden, die in unterschiedliche Richtungen gehen, aber am Ende gemeinsam einen teuren Preis zahlen. Ein Porträt der anarchistischen Bewegung im Frankreich der Jahrhundertwende, der Streiks, der Debatten, Zeitungen und der organisierten Strömungen. Ein Buch über Victor Serges Jugend und über die widrigen Bedingungen, unter denen die einflussreiche Zeitschrift l´anarchie entstanden ist. Eine minutiöse Auswertung sämtlicher Quellen wie Zeitungsberichte, Memoiren, Gerichtsakten durch Richard Parry führten zu einem spannenden Buch, einer Dokumentation einer Zeit, ihrer ProtagonistInnen und einigen der Vordenker politisch motivierter Gewalt, etwa Nietzsche und Stirner.

Das Nachwort bildet ein Essay von Errico Malatesta aus der Wiener Zeitung Wohlstand für Alle aus dem Jahr 1914.",274,die_bonnot_bande_cover.jpg,2013,7.90,politics,0
978-3-903022-16-4,Ein Verbrechen namens Freiheit,"Os Cangaceiros bildeten sich aus dem Milieu der gescheiterten Rebellion im Mai 1968 in Frankreich. Sie nahmen sich die Verweigerung der Lohnarbeit zu Herzen und organisierten ihre Leben im Widerstand zu den bestehenden Verhältnissen. Somit standen sie von Beginn an mit einem Fuss im Kriminal. Sie reisten durch ganz Europa und beteiligten sich an den jeweiligen lokalen Revolten der 1970er und Anfang der 1980er Jahre. Mitte der 80er Jahre führten ihre Erfahrungen mit der Justiz und dem Gefängnissystem dazu, eben diese anzugreifen. Die meisten der in diesem Buch abgedruckten Texte stehen im Kontext ihrer Aktivitäten gegen die Gefängnisse. Neben der Sammlung aller wesentlichen Texte folgen am Ende Anschlagserklärungen, die einen Einblick in den vielfältigen und kreativen Aktionismus der Gruppe ermöglichen.",137,ein_verbrechen_namens_freiheit_cover.jpg,2013,7.90,politics,0
978-3-903022-10-2,Antifa in England Part 1,"Teil 1 des gewaltigen Porträts der britischen Arbeiterklasse unter Maggie Thatcher. Es geht um Musik, Hooligans, Demo-Tourismus und die typisch englische Pub-Kultur. Aus dem Umfeld sozialistischer Arbeiter und der Fußball-Szene bildeten sich in den 1970er Jahren zahlreiche Squads, die organisiert und gezielt die Nazis der BNP, NF, Combat 18 und Blood & Honour von den Strassen prügelten.",150,antifa_in_england_1_cover.jpg,2013,7.90,politics,0
978-3-903022-08-9,Stimmen des Widerstands,"Bahö in der banlieue, die Dezember-Revolte in Griechenland, London-Riots, Indignados, Occupy und der arabische Frühling: Befinden wir uns in einer Ära der Aufstände? Occupied London greift in der fünften und finalen Ausgabe ihres Journals die Themen nochmals auf, die sie von Anfang an begleitet haben, und verdichten sie: Henri Lefebvres Recht auf Stadt, Kapitalismus und Krise, Geschichte, Militanz und urbaner Widerstand. Als Fazit und Ausblick stellt vorliegender Abschlussband verschiedene Methoden, Taktiken und Organisationsmodelle kontemporärer Aufstände vor.

Mit diesem Büchlein fliegst du wie mit einem Hubschrauber über die brennenden Koka-Felder in Kolumbien und tauchst ein in die Klassen-Auseinandersetzungen in Mexiko, streifst die Tränengas-Wolken über dem Taksim-Platz, erfährst vieles über den schwarzen Block in Brasilien, siehst den Zusammenhang der London-riots mit den Olympischen Spielen dort ebenso wie die Verbindung der Revolte in Slowenien 1988 mit der Erhebung von 2012 in Maribor.
",137,stimmen_des_widerstands_cover.jpg,2014,7.90,politics,0
978-3-903022-00-3,Antifa in England Part 2,"Der zweite Band der gewaltigen Trilogie Antifa in England präsentiert das Ende der Ära Thatcher und die Anfänge einer politisierten Clubkultur im MADchester der 1990er Jahre. Eine neue Generation proletarischer lads stand auf und organisierte AFA – Anti-Fascist-Action (161). Nachdem sie Manchester fest in ihrer Hand hielten, reisten sie als Steward-Gruppen durch ganz England um Intoleranz und Rassenhass von den Strassen zu prügeln. Rechte Hooligans, nordirische Loyalisten und die Eierschädeln von Skrewdriver oder No Remorse: Sie alle zitterten in ihren Stiefeln, wenn wie aus dem Nichts die gefürchteten AFA-lads plötzlich vor ihnen standen. Die atemlose und fesselnde Autobiographie des 2009 verstorbenen Autors David Hann (der Zeit seines Lebens Bauarbeiter von Beruf war) liegt nun endlich auf Deutsch vor.
",172,antifa_in_england_2_cover.jpg,2014,7.90,politics,0
978-3-903022-24-9,Die schwedischen Ausschreitungen,"Nachdem ein portugiesischer Einwanderer von der schwedischen Polizei erschossen worden war, kam es am 19. Mai 2013 in Husby, ein armes Vorstadtquartier, wo viele Einwanderer leben, zu heftigen und lang andauernden Ausschreitungen. Diese Ausschreitungen breiteten sich in verschiedenen Quartieren aus, Hunderte von Autos brannten, Polizeiposten wurden koordiniert angegriffen und Forderungen nach tieferen Mieten an die Wände gesprayt. Diese Entwicklungen, welche von der europäischen Medienlandschaft grösstenteils ignoriert wurden, überraschen gerade in Hinblick auf den oft gepriesenen schwedischen Wohlfahrtsstaat. Zaschia Bouzarri ordnet in ihrem Essay diese Ereignisse historisch ein und erklärt ihre gesellschaftlichen Grundlagen.
",85,die_schwedischen_ausschreitungen_cover.jpg,2016,7.80,politics,0
978-3-903022-28-7,Antifa in London,"Martin Lux präsentiert in Antifa in London nicht nur den geheimen Kampf zwischen Antifaschisten und der extremen Rechten in England, sondern er gewährt auch tiefe Einblicke in die Kultur der britischen Arbeiterklasse im London der 1970er und 1980er Jahre, zwischen Pub, Punk-Konzerten ...",120,antifa_in_london_cover.jpg,2016,9.80,politics,0
978-3-903022-14-0,Rojava,"Der Krieg in Syrien hat dramatische Folgen, wie in den letzten Monaten an den österreichischen Grenzen in Nickelsdorf und Spielfeld beobachtbar wurde. Mit diesem Buch reisen wir zu einigen der Wurzeln dieses Konfliktes. In drei Artikeln wird die Geschichte des kurdischen Teils von Syrien analysiert, ein Landstrich der auf kurdisch „Süden“, Rojava heisst. Der erste Teil vom italienischen politischen Kollektiv Il Lato Cattivo behandelt die Entstehung des kurdischen Nationalismus von ca. 1920 bis heute. Dieser ist in den letzten 40 Jahren aufs engste mit der kurdischen Arbeiterpartei PKK verbunden, deren Entstehung und deren ideologischen Wendungen werden ebenfalls beleuchtet. Der zweite Teil ist ein Reisebericht einer französischen Aktivistin namens Becky. Sie reiste im Dezember 2014 nach Kobane und behandelt in ihrer Reportage die konkreten revolutionären Massnahmen, die während und nach der Belagerung von Kobane eingeleitet wurden. Diese von der PYD mit Unterstützung der PKK gewonnene Abwehrschlacht war gleichzeitig die erste Niederlage des Islamischen Staates und wurde in ihrer welthistorischen Bedeutung bereits mit der Pariser Kommune oder dem spanischen Bürgerkrieg 1936 verglichen. Der dritte Teil des Buches von Gilles Dauvé, dem französischen marxistischen Theoretiker der Kommunisierung, vergleicht den Anspruch und die politische Rethorik mit der Realität vor Ort. Die in der westliche Linken verbreiteten Mythen über Kobane und Rojava (etwa die bewaffnete Kämpferin) und die neue ideologische Annäherung der kurdischen Bewegung an den Demokratischen Konföderalismus des US-Amerikanischen Öko-Anarchisten Muray Bookchin werden auf deren realen emanzipatorischen Gehalt hin untersucht.",96,rojava_cover.jpg,2016,7.80,politics,0
978-3-903022-37-9,Kalifat und Barbarei,"Mit der gegenwärtigen Neuordnung des Nahen Ostens erleben wir die Konstitution von neuen Einheiten, die bekanntesten davon sind der Islamische Staat (IS) und Rojava (Westkurdistan). Letztere sei als Musterbeispiel der Demokratie und des Feminismus ein Schutzwall gegen die Barbarei ersterer. Denn der Islamische Staat ist ein Monster, die Bilder beweisen es. Alles beweist es. Die Erklärung genügt jedoch nicht, um zu verstehen, wieso und wie acht bis zehn Millionen Leute seit einiger Zeit in einem Territorium leben, das mit dem Rest des Planeten im Krieg steht. Die Tage des Kalifats sind wahrscheinlich gezählt, doch die Frage bleibt: Wieso funktioniert es?",96,kalifat_und_barbarei_cover.jpg,2016,10.00,politics,0
